freq,airpol,nace_r2,unit,geo\TIME_PERIOD	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 
Q,GHG,TOTAL_HH,PCH_SM,HR	: 	: 	: 	: 	1.167 s	0.586 s	-5.465 s	0.311 s	-1.428 s	-9.652 s	-6.284 s	-9.914 s	-10.264 s	-4.779 s	-4.173 s	0.099 s	-3.855 s	2.001 s	-6.592 s	-5.014 s	0.912 s	-1.668 s	4.145 s	3.454 s	-1.536 s	1.952 s	-0.726 s	1.859 s	6.377 s	1.996 s	4.056 s	0.169 s	-3.375 s	-8.338 s	-1.772 s	-5.02 s	-0.133 s	3.294 s	-0.58 s	-1.382 s	-1.852 s	-6.728 s	-1.454 s	0.965 s	2.695 s	14.003 s	10.897 s	6.225 s
Q,GHG,TOTAL_HH,PCH_SM,HU	: 	: 	: 	: 	1.537 s	-1.701 s	-1.467 s	-4.3 s	-7.22 s	-11.26 s	-4.108 s	-9.734 s	-7.102 s	-0.599 s	-4.388 s	-1.968 s	-3.87 s	3.032 s	4.813 s	3.112 s	8.435 s	4.005 s	4.242 s	4.677 s	-1.266 s	-0.027 s	1.278 s	1.958 s	6.278 s	2.522 s	3.05 s	3.365 s	3.724 s	-0.608 s	-0.229 s	-1.731 s	-4.355 s	1.861 s	-0.458 s	-2.588 s	1.269 s	-11.063 s	-0.958 s	0.845 s	-3.411 s	22.939 s	8.177 s	11.89 s
Q,GHG,TOTAL_HH,PCH_SM,IE	: 	: 	: 	: 	-4.535 s	-4.921 s	-1.75 s	-7.362 s	-3.397 s	4.362 s	1.021 s	5.041 s	4.124 s	-0.381 s	0.826 s	-2.357 s	-3.402 s	-0.169 s	1.888 s	0.109 s	4.453 s	2.951 s	5.28 s	2.85 s	4.918 s	6.833 s	4.991 s	11.659 s	3.336 s	1.872 s	4.937 s	2.506 s	5.013 s	4.273 s	0.954 s	-1.867 s	-9.217 s	-0.867 s	-1.23 s	-0.066 s	-1.062 s	-31.136 s	-12.714 s	-16.96 s	-15.985 s	21.226 s	10.521 s	13.833 s
Q,GHG,TOTAL_HH,PCH_SM,IT	: 	: 	: 	: 	0.57 s	-1.894 s	-2.352 s	-4.934 s	-2.441 s	-3.227 s	-3.552 s	-7.179 s	-7.529 s	-10.131 s	-7.95 s	-4.004 s	-8.515 s	-2.633 s	-3.893 s	-3.137 s	2.646 s	1.423 s	4.667 s	3.992 s	1.107 s	-1.242 s	-3.36 s	0.605 s	-0.47 s	1.006 s	-0.999 s	-0.139 s	1.433 s	-3.391 s	0.269 s	-3.839 s	-3.488 s	2.936 s	-0.977 s	-4.956 s	-9.075 s	-23.297 s	-4.773 s	-2.628 s	2.278 s	24.631 s	2.884 s	8.305 s
Q,GHG,TOTAL_HH,PCH_SM,LT	: 	: 	: 	: 	-3.402 s	8.869 s	8.495 s	-1.575 s	0.83 s	-4.16 s	1.976 s	-1.687 s	-7.636 s	-4.146 s	-1.838 s	-7.253 s	-1.249 s	0.782 s	-0.715 s	4.624 s	0.39 s	10.389 s	1.147 s	1.184 s	1.032 s	1.835 s	-0.378 s	1.675 s	3.759 s	0.36 s	5.888 s	8.293 s	6.531 s	5.791 s	2.973 s	-1.565 s	1.366 s	2.072 s	1.316 s	3.03 s	-1.286 s	-4.323 s	2.164 s	-2.464 s	-0.365 s	6.445 s	5.153 s	8.831 s
Q,GHG,TOTAL_HH,PCH_SM,LU	: 	: 	: 	: 	-2.505 s	-6.259 s	-18.588 s	-11.714 s	-4.518 s	-0.536 s	9.053 s	-0.408 s	1.107 s	-4.179 s	-3.035 s	5.601 s	-3.607 s	0.277 s	1.503 s	1.075 s	18.91 s	11.379 s	12.918 s	1.106 s	-8.567 s	0.711 s	0.146 s	4.31 s	0.357 s	1.281 s	3.171 s	-1.246 s	0.455 s	-5.487 s	-1.517 s	7.578 s	-5.468 s	9.012 s	15.394 s	1.859 s	0.928 s	-2.464 s	-14.746 s	-11.867 s	0.116 s	-1.058 s	-1.592 s	2.628 s
Q,GHG,TOTAL_HH,PCH_SM,LV	: 	: 	: 	: 	-8.929 s	-3.03 s	-8.019 s	-7.138 s	-3.958 s	-5.341 s	4.469 s	-4.211 s	-2.993 s	-2.289 s	-1.538 s	1.408 s	-7.793 s	12.7 s	-0.958 s	1.622 s	-1.697 s	-2.253 s	7.273 s	2.414 s	3.255 s	0.505 s	-6.238 s	0.846 s	6.191 s	4.646 s	2.71 s	-3.886 s	3.667 s	0.43 s	5.845 s	6.456 s	-7.681 s	3.971 s	9.855 s	-4.804 s	-5.353 s	-7.945 s	-13.728 s	-4.293 s	8.81 s	5.101 s	16.333 s	13.2 s
Q,GHG,TOTAL_HH,PCH_SM,MT	: 	: 	: 	: 	-0.645 s	-1.452 s	2.241 s	1.219 s	7.382 s	6.713 s	7.356 s	1.33 s	-6.789 s	-8.352 s	-12.048 s	-5.132 s	-1.268 s	2.953 s	2.971 s	2.205 s	2.817 s	-22.554 s	-30.446 s	-29.386 s	-31.721 s	-13.98 s	-1.505 s	-2.357 s	3.466 s	12.501 s	12.27 s	9.998 s	6.802 s	2.625 s	-0.551 s	4.986 s	5.704 s	14.205 s	6.408 s	1.786 s	-1.957 s	-28.749 s	-19.954 s	-24.226 s	-20.095 s	17.608 s	11.895 s	22.929 s
Q,GHG,TOTAL_HH,PCH_SM,NL	: 	: 	: 	: 	-4.304 s	-6.324 s	-4.697 s	-7.856 s	-1.331 s	-0.864 s	-1.559 s	-1.327 s	-0.405 s	1.351 s	-0.189 s	-0.366 s	-7.29 s	-2.918 s	0.731 s	-0.77 s	5.896 s	3.958 s	3.866 s	-0.067 s	-1.216 s	-1.442 s	-2.317 s	3.841 s	0.755 s	-0.268 s	-2.725 s	-4.434 s	-0.259 s	-4.006 s	-1.902 s	-4.63 s	-2.493 s	-6.69 s	-7.586 s	4.588 s	-7.992 	-16.562 	-2.655 	-13.656 	-2.575 	12.366 	-2.414 	2.056 
Q,GHG,TOTAL_HH,PCH_SM,PL	: 	: 	: 	: 	1.872 s	2.116 s	-0.625 s	-4.198 s	-1.904 s	-2.708 s	-1.367 s	-0.729 s	-1.084 s	-1.016 s	0.267 s	-1.985 s	-6.132 s	-1.507 s	-1.784 s	-1.219 s	0.327 s	0.972 s	0.895 s	0.123 s	2.438 s	1.278 s	2.232 s	6.271 s	6.718 s	5.853 s	5.044 s	0.05 s	1.852 s	-3.832 s	0.074 s	-0.957 s	-7.127 s	-0.465 s	-4.585 s	-5.574 s	-4.084 s	-10.004 s	-3.447 s	-0.393 s	5.296 s	14.533 s	11.536 s	11.571 s
