freq,airpol,nace_r2,unit,geo\TIME_PERIOD	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 
Q,GHG,TOTAL_HH,T_HAB,DK	4.816 s	4.371 s	4.3 s	4.831 s	4.889 s	4.416 s	4.205 s	4.522 s	4.534 s	4.084 s	3.816 s	4.292 s	4.467 s	4.086 s	3.805 s	4.025 s	3.962 s	3.68 s	3.663 s	3.868 s	3.976 s	3.791 s	3.483 s	3.84 s	4.12 s	3.745 s	3.652 s	3.98 s	4.029 s	3.789 s	3.665 s	3.93 s	4.124 s	3.865 s	3.708 s	3.921 s	3.767 s	3.549 s	3.349 s	3.586 s	3.636 s	3.275 s	3.353 s	3.535 s	3.716 s	3.678 s	3.598 s	3.813 s
Q,GHG,TOTAL_HH,T_HAB,EE	4.48 s	3.712 s	3.824 s	4.488 s	4.48 s	3.791 s	3.949 s	4.193 s	4.071 s	3.673 s	3.837 s	4.389 s	4.692 s	4.236 s	4.449 s	4.319 s	4.108 s	4.198 s	4.222 s	4.385 s	3.926 s	3.451 s	3.542 s	3.64 s	3.776 s	3.308 s	4.169 s	4.373 s	4.519 s	4.132 s	3.855 s	4.081 s	4.315 s	3.765 s	3.981 s	3.716 s	3.591 s	2.716 s	2.523 s	2.648 s	2.18 s	1.907 s	2.477 s	2.515 s	2.494 s	2.259 s	2.579 s	3.21 s
Q,GHG,TOTAL_HH,T_HAB,EL	2.978 s	2.763 s	3.001 s	2.785 s	2.948 s	2.607 s	2.826 s	2.855 s	2.997 s	2.522 s	2.762 s	2.678 s	2.445 s	2.366 s	2.603 s	2.58 s	2.499 s	2.33 s	2.472 s	2.473 s	2.436 s	2.231 s	2.461 s	2.52 s	2.341 s	2.169 s	2.389 s	2.575 s	2.582 s	2.311 s	2.549 s	2.569 s	2.434 s	2.309 s	2.559 s	2.613 s	2.539 s	2.286 s	2.394 s	2.228 s	2.242 s	1.779 s	2.076 s	2.07 s	2.052 s	2.057 s	2.353 s	2.235 s
Q,GHG,TOTAL_HH,T_HAB,ES	1.975 s	1.899 s	1.892 s	2.057 s	2.027 s	1.875 s	1.891 s	1.99 s	2.052 s	1.846 s	1.805 s	1.918 s	1.756 s	1.688 s	1.736 s	1.897 s	1.739 s	1.731 s	1.809 s	1.891 s	1.892 s	1.793 s	1.835 s	1.918 s	1.792 s	1.708 s	1.747 s	1.953 s	1.874 s	1.8 s	1.797 s	2.008 s	1.878 s	1.788 s	1.774 s	1.9 s	1.79 s	1.712 s	1.67 s	1.733 s	1.569 s	1.213 s	1.463 s	1.552 s	1.487 s	1.509 s	1.519 s	1.715 s
Q,GHG,TOTAL_HH,T_HAB,EU27_2020	2.659 s	2.325 s	2.254 s	2.689 s	2.642 s	2.27 s	2.204 s	2.549 s	2.609 s	2.227 s	2.159 s	2.482 s	2.529 s	2.171 s	2.122 s	2.435 s	2.359 s	2.105 s	2.07 s	2.379 s	2.42 s	2.119 s	2.121 s	2.392 s	2.394 s	2.115 s	2.076 s	2.457 s	2.465 s	2.15 s	2.099 s	2.406 s	2.434 s	2.065 s	2.082 s	2.359 s	2.315 s	2.042 s	1.984 s	2.244 s	2.15 s	1.656 s	1.862 s	2.151 s	2.175 s	1.98 s	1.966 s	2.325 s
Q,GHG,TOTAL_HH,T_HAB,FI	4.2 s	3.484 s	3.196 s	4.038 s	4.059 s	3.227 s	2.801 s	3.225 s	3.398 s	2.882 s	2.679 s	3.238 s	3.399 s	2.909 s	2.752 s	3.17 s	3.081 s	2.695 s	2.619 s	2.979 s	2.892 s	2.557 s	2.41 s	2.888 s	3.078 s	2.659 s	2.481 s	3.092 s	2.979 s	2.6 s	2.375 s	2.781 s	3.014 s	2.522 s	2.511 s	2.884 s	2.855 s	2.454 s	2.373 s	2.687 s	2.535 s	2.141 s	2.106 s	2.417 s	2.604 s	2.254 s	2.221 s	2.685 s
Q,GHG,TOTAL_HH,T_HAB,FR	2.229 s	1.891 s	1.734 s	2.18 s	2.185 s	1.783 s	1.647 s	2.013 s	2.156 s	1.793 s	1.658 s	1.994 s	2.158 s	1.801 s	1.644 s	1.967 s	1.934 s	1.686 s	1.563 s	1.867 s	1.995 s	1.654 s	1.568 s	1.85 s	1.916 s	1.679 s	1.553 s	1.917 s	1.96 s	1.667 s	1.565 s	1.883 s	1.912 s	1.576 s	1.508 s	1.781 s	1.82 s	1.609 s	1.49 s	1.718 s	1.69 s	1.23 s	1.412 s	1.654 s	1.729 s	1.538 s	1.446 s	1.762 s
Q,GHG,TOTAL_HH,T_HAB,HR	1.616 s	1.498 s	1.69 s	1.692 s	1.64 s	1.511 s	1.603 s	1.703 s	1.622 s	1.37 s	1.507 s	1.539 s	1.461 s	1.308 s	1.448 s	1.546 s	1.41 s	1.34 s	1.36 s	1.476 s	1.43 s	1.327 s	1.426 s	1.538 s	1.42 s	1.364 s	1.427 s	1.581 s	1.527 s	1.405 s	1.501 s	1.599 s	1.49 s	1.301 s	1.488 s	1.533 s	1.497 s	1.351 s	1.488 s	1.52 s	1.477 s	1.267 s	1.473 s	1.541 s	1.579 s	1.503 s	1.7 s	1.704 s
Q,GHG,TOTAL_HH,T_HAB,HU	1.927 s	1.624 s	1.582 s	2.065 s	1.963 s	1.601 s	1.564 s	1.981 s	1.826 s	1.425 s	1.505 s	1.795 s	1.705 s	1.424 s	1.446 s	1.768 s	1.644 s	1.471 s	1.519 s	1.827 s	1.787 s	1.534 s	1.587 s	1.918 s	1.769 s	1.537 s	1.612 s	1.961 s	1.886 s	1.581 s	1.666 s	2.032 s	1.96 s	1.573 s	1.664 s	1.998 s	1.875 s	1.604 s	1.657 s	1.947 s	1.9 s	1.427 s	1.644 s	1.969 s	1.843 s	1.763 s	1.787 s	2.214 s
Q,GHG,TOTAL_HH,T_HAB,IE	4.126 s	3.766 s	3.464 s	3.907 s	3.922 s	3.565 s	3.389 s	3.607 s	3.774 s	3.707 s	3.409 s	3.772 s	3.912 s	3.676 s	3.42 s	3.662 s	3.756 s	3.645 s	3.459 s	3.637 s	3.89 s	3.719 s	3.608 s	3.704 s	4.039 s	3.93 s	3.744 s	4.086 s	4.123 s	3.959 s	3.889 s	4.142 s	4.288 s	4.073 s	3.875 s	4.015 s	3.835 s	3.985 s	3.778 s	3.96 s	3.748 s	2.714 s	3.262 s	3.26 s	3.123 s	3.268 s	3.581 s	3.677 s
Q,GHG,TOTAL_HH,T_HAB,IT	2.42 s	2.062 s	2.004 s	2.392 s	2.424 s	2.016 s	1.951 s	2.267 s	2.359 s	1.945 s	1.876 s	2.099 s	2.175 s	1.744 s	1.724 s	2.012 s	1.988 s	1.698 s	1.657 s	1.95 s	2.043 s	1.724 s	1.737 s	2.032 s	2.07 s	1.706 s	1.682 s	2.048 s	2.064 s	1.726 s	1.668 s	2.049 s	2.098 s	1.672 s	1.676 s	1.974 s	2.029 s	1.725 s	1.665 s	1.881 s	1.851 s	1.33 s	1.593 s	1.843 s	1.906 s	1.667 s	1.648 s	2.005 s
Q,GHG,TOTAL_HH,T_HAB,LT	1.904 s	1.692 s	1.825 s	1.961 s	1.881 s	1.884 s	2.025 s	1.974 s	1.922 s	1.83 s	2.093 s	1.967 s	1.793 s	1.772 s	2.075 s	1.843 s	1.786 s	1.801 s	2.078 s	1.945 s	1.81 s	2.007 s	2.122 s	1.987 s	1.852 s	2.07 s	2.141 s	2.046 s	1.949 s	2.107 s	2.299 s	2.247 s	2.096 s	2.25 s	2.39 s	2.233 s	2.13 s	2.303 s	2.428 s	2.306 s	2.102 s	2.203 s	2.48 s	2.249 s	2.089 s	2.338 s	2.6 s	2.441 s
Q,GHG,TOTAL_HH,T_HAB,LU	5.45 s	4.809 s	4.506 s	5.344 s	5.202 s	4.408 s	3.582 s	4.601 s	4.849 s	4.286 s	3.82 s	4.479 s	4.774 s	3.994 s	3.613 s	4.62 s	4.496 s	3.912 s	3.582 s	4.559 s	5.242 s	4.285 s	3.967 s	4.506 s	4.688 s	4.199 s	3.867 s	4.581 s	4.588 s	4.162 s	3.903 s	4.441 s	4.518 s	3.858 s	3.77 s	4.685 s	4.182 s	4.117 s	4.262 s	4.68 s	4.142 s	3.955 s	3.583 s	4.069 s	4.094 s	3.848 s	3.468 s	4.108 s
Q,GHG,TOTAL_HH,T_HAB,LV	1.77 s	1.398 s	1.553 s	1.703 s	1.646 s	1.382 s	1.455 s	1.607 s	1.603 s	1.325 s	1.538 s	1.555 s	1.571 s	1.308 s	1.529 s	1.594 s	1.464 s	1.488 s	1.528 s	1.634 s	1.451 s	1.468 s	1.653 s	1.687 s	1.511 s	1.488 s	1.565 s	1.718 s	1.621 s	1.573 s	1.622 s	1.665 s	1.694 s	1.592 s	1.73 s	1.786 s	1.575 s	1.666 s	1.914 s	1.712 s	1.5 s	1.543 s	1.661 s	1.65 s	1.646 s	1.638 s	1.952 s	1.886 s
Q,GHG,TOTAL_HH,T_HAB,MT	1.963 s	1.938 s	2.194 s	1.929 s	1.945 s	1.903 s	2.233 s	1.941 s	2.075 s	2.014 s	2.374 s	1.944 s	1.91 s	1.82 s	2.057 s	1.816 s	1.852 s	1.838 s	2.073 s	1.813 s	1.86 s	1.39 s	1.408 s	1.25 s	1.24 s	1.168 s	1.356 s	1.194 s	1.253 s	1.28 s	1.478 s	1.272 s	1.294 s	1.269 s	1.419 s	1.288 s	1.318 s	1.394 s	1.451 s	1.258 s	1.244 s	0.967 s	1.142 s	0.947 s	0.992 s	1.13 s	1.26 s	1.15 s
Q,GHG,TOTAL_HH,T_HAB,NL	3.799 s	3.285 s	3.03 s	3.769 s	3.618 s	3.063 s	2.874 s	3.457 s	3.554 s	3.025 s	2.82 s	3.4 s	3.53 s	3.057 s	2.806 s	3.378 s	3.262 s	2.957 s	2.816 s	3.339 s	3.439 s	3.061 s	2.912 s	3.32 s	3.382 s	3.002 s	2.829 s	3.428 s	3.387 s	2.976 s	2.735 s	3.257 s	3.358 s	2.841 s	2.668 s	3.088 s	3.256 	2.634 	2.449 	3.207 	2.974 	2.184 	2.372 	2.758 	2.887 	2.444 	2.303 	2.797 
Q,GHG,TOTAL_HH,T_HAB,PL	2.948 s	2.508 s	2.469 s	3.064 s	3.001 s	2.56 s	2.453 s	2.935 s	2.943 s	2.49 s	2.419 s	2.913 s	2.912 s	2.467 s	2.427 s	2.858 s	2.736 s	2.431 s	2.385 s	2.825 s	2.746 s	2.456 s	2.408 s	2.831 s	2.816 s	2.49 s	2.464 s	3.009 s	3.006 s	2.636 s	2.588 s	3.011 s	3.061 s	2.535 s	2.591 s	2.984 s	2.845 s	2.525 s	2.474 s	2.819 s	2.731 s	2.274 s	2.391 s	2.814 s	2.886 s	2.616 s	2.681 s	3.156 s
Q,GHG,TOTAL_HH,T_HAB,PT	1.617 s	1.624 s	1.76 s	1.754 s	1.663 s	1.609 s	1.688 s	1.676 s	1.68 s	1.56 s	1.707 s	1.567 s	1.608 s	1.553 s	1.585 s	1.619 s	1.515 s	1.555 s	1.657 s	1.66 s	1.683 s	1.668 s	1.733 s	1.708 s	1.581 s	1.565 s	1.726 s	1.717 s	1.764 s	1.743 s	1.81 s	1.761 s	1.69 s	1.635 s	1.763 s	1.672 s	1.581 s	1.598 s	1.625 s	1.634 s	1.579 s	1.253 s	1.578 s	1.58 s	1.472 s	1.538 s	1.584 s	1.646 s
Q,GHG,TOTAL_HH,T_HAB,RO	1.439 s	1.335 s	1.432 s	1.686 s	1.507 s	1.46 s	1.528 s	1.827 s	1.547 s	1.392 s	1.543 s	1.75 s	1.402 s	1.27 s	1.447 s	1.706 s	1.429 s	1.314 s	1.439 s	1.679 s	1.397 s	1.304 s	1.56 s	1.695 s	1.393 s	1.315 s	1.487 s	1.676 s	1.483 s	1.372 s	1.536 s	1.708 s	1.524 s	1.341 s	1.551 s	1.777 s	1.472 s	1.339 s	1.513 s	1.687 s	1.459 s	1.173 s	1.453 s	1.673 s	1.489 s	1.454 s	1.582 s	1.798 s
Q,GHG,TOTAL_HH,T_HAB,SE	2.056 	1.759 	1.635 	1.981 	1.883 	1.649 	1.544 	1.667 	1.721 	1.534 	1.466 	1.652 	1.695 	1.521 	1.451 	1.535 	1.551 	1.484 	1.44 	1.543 	1.63 	1.501 	1.438 	1.569 	1.584 	1.467 	1.439 	1.563 	1.486 	1.425 	1.397 	1.485 	1.458 	1.374 	1.332 	1.43 	1.415 	1.324 	1.305 	1.337 	1.245 	1.158 	1.168 	1.229 	1.196 	1.224 	1.201 	1.251 
Q,GHG,TOTAL_HH,T_HAB,SI	2.628 s	2.257 s	2.366 s	2.699 s	2.661 s	2.354 s	2.318 s	2.556 s	2.576 s	2.279 s	2.247 s	2.4 s	2.374 s	2.039 s	2.285 s	2.454 s	2.227 s	2.087 s	2.012 s	2.048 s	2.175 s	2.078 s	2.168 s	2.17 s	2.211 s	2.109 s	2.268 s	2.498 s	2.441 s	2.206 s	2.302 s	2.35 s	2.443 s	2.037 s	2.301 s	2.413 s	2.278 s	2.156 s	2.203 s	2.336 s	2.121 s	1.837 s	2.205 s	2.371 s	2.253 s	2.051 s	2.143 s	2.423 s
Q,GHG,TOTAL_HH,T_HAB,SK	2.179 s	1.994 s	1.962 s	2.237 s	2.186 s	2.026 s	1.935 s	2.127 s	2.069 s	1.842 s	1.829 s	2.101 s	2.049 s	1.828 s	1.789 s	2.083 s	1.909 s	1.754 s	1.687 s	2.022 s	1.954 s	1.797 s	1.752 s	2.024 s	1.921 s	1.795 s	1.783 s	2.089 s	1.988 s	1.826 s	1.839 s	2.128 s	2.042 s	1.799 s	1.858 s	2.062 s	1.977 s	1.749 s	1.708 s	1.91 s	1.827 s	1.445 s	1.656 s	1.952 s	1.925 s	1.778 s	1.811 s	2.082 s
